feature_names	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	KEGG	HMDB
compid_134	Amino Acid	Glycine, Serine and Threonine Metabolism	134	LC/MS Pos Early	C02115	NA
compid_135	Lipid	Monoacylglycerol	135	LC/MS Neg	NA	HMDB135
compid_136	Amino Acid	Urea cycle; Arginine and Proline Metabolism	136	LC/MS Pos Early	C03771	HMDB136
compid_137	Lipid	Lysophospholipid	137	LC/MS Neg	NA	HMDB137
compid_138	Lipid	Lysophospholipid	138	LC/MS Neg	NA	HMDB138
compid_139	Amino Acid	Glutamate Metabolism	139	LC/MS Pos Early	NA	HMDB139
compid_140	Lipid	Lysophospholipid	140	LC/MS Neg	NA	HMDB140
compid_141	Lipid	Pregnenolone Steroids	141	LC/MS Neg	NA	NA
compid_142	Amino Acid	Tyrosine Metabolism	142	LC/MS Neg	C03672	HMDB142
compid_143	Nucleotide	Pyrimidine Metabolism, Thymine containing	143	LC/MS Pos Early	C05145	HMDB143
compid_144	Lipid	Fatty Acid, Dicarboxylate	144	LC/MS Neg	NA	NA
compid_145	Lipid	Fatty Acid, Dicarboxylate	145	LC/MS Neg	NA	HMDB145
compid_146	Amino Acid	Leucine, Isoleucine and Valine Metabolism	146	LC/MS Neg	NA	HMDB146
compid_147	Lipid	Mevalonate Metabolism	147	LC/MS Polar	C03761	HMDB147
compid_148	Lipid	Fatty Acid, Dicarboxylate	148	LC/MS Polar	NA	HMDB148
compid_149	Lipid	Ketone Bodies	149	LC/MS Polar	C01089	HMDB149
compid_150	Lipid	Fatty Acid Metabolism(Acyl Glycine)	150	LC/MS Pos Early	NA	NA
compid_151	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	151	LC/MS Pos Early	NA	HMDB151
compid_152	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	152	LC/MS Pos Early	NA	HMDB152
compid_153	Lipid	Fatty Acid, Monohydroxy	153	LC/MS Neg	NA	HMDB153
compid_154	Lipid	Fatty Acid, Monohydroxy	154	LC/MS Neg	NA	NA
compid_155	Amino Acid	Leucine, Isoleucine and Valine Metabolism	155	LC/MS Polar	C06001	HMDB155
compid_156	Lipid	Fatty Acid, Monohydroxy	156	LC/MS Neg	NA	HMDB156
compid_157	Lipid	Fatty Acid, Monohydroxy	157	LC/MS Neg	NA	NA
compid_158	Lipid	Fatty Acid, Monohydroxy	158	LC/MS Neg	NA	HMDB158
compid_159	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	159	LC/MS Pos Late	NA	NA
compid_160	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	160	LC/MS Pos Late	NA	NA
compid_161	Lipid	Fatty Acid, Monohydroxy	161	LC/MS Neg	NA	HMDB161
compid_162	Amino Acid	Tryptophan Metabolism	162	LC/MS Neg	NA	HMDB162
compid_163	Amino Acid	Tyrosine Metabolism	163	LC/MS Pos Early	NA	HMDB163
compid_164	Amino Acid	Leucine, Isoleucine and Valine Metabolism	164	LC/MS Neg	C00141	HMDB164
compid_165	Amino Acid	Leucine, Isoleucine and Valine Metabolism	165	LC/MS Neg	C00671	HMDB165
compid_166	Lipid	Fatty Acid, Dicarboxylate	166	LC/MS Polar	NA	HMDB166
compid_167	Amino Acid	Leucine, Isoleucine and Valine Metabolism	167	LC/MS Polar	NA	HMDB167
compid_168	Amino Acid	Leucine, Isoleucine and Valine Metabolism	168	LC/MS Pos Early	NA	HMDB168
compid_169	Amino Acid	Histidine Metabolism	169	LC/MS Neg	C01152	HMDB169
compid_170	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	170	LC/MS Polar	C00506	HMDB170
compid_171	Nucleotide	Pyrimidine Metabolism, Uracil containing	171	LC/MS Pos Early	C02642	HMDB171
compid_172	Lipid	Secondary Bile Acid Metabolism	172	LC/MS Neg	NA	HMDB172
compid_173	Lipid	Sterol	173	LC/MS Neg	C17335	NA
compid_174	Lipid	Sterol	174	LC/MS Neg	C17333	NA
compid_175	Amino Acid	Polyamine Metabolism	175	LC/MS Pos Early	C02946	HMDB175
compid_176	Lipid	Sterol	176	LC/MS Pos Late	C00599	HMDB176
compid_177	Amino Acid	Guanidino and Acetamido Metabolism	177	LC/MS Pos Early	C01035	HMDB177
compid_178	Amino Acid	Glutamate Metabolism	178	LC/MS Pos Early	C03079	HMDB178
compid_179	Amino Acid	Tyrosine Metabolism	179	LC/MS Neg	C01179	HMDB179
compid_180	Amino Acid	Histidine Metabolism	180	LC/MS Pos Early	C02835	HMDB180
compid_181	Amino Acid	Tyrosine Metabolism	181	LC/MS Neg	NA	NA
compid_182	Amino Acid	Leucine, Isoleucine and Valine Metabolism	182	LC/MS Neg	C00233	HMDB182
compid_183	Nucleotide	Pyrimidine Metabolism, Thymine containing	183	LC/MS Neg	C00906	HMDB183
compid_184	Nucleotide	Pyrimidine Metabolism, Uracil containing	184	LC/MS Neg	C00429	HMDB184
compid_185	Nucleotide	Pyrimidine Metabolism, Uracil containing	185	LC/MS Neg	NA	NA
compid_186	Amino Acid	Lysine Metabolism	186	LC/MS Pos Early	NA	NA
compid_187	Amino Acid	Lysine Metabolism	187	LC/MS Pos Early	C00431	HMDB187
compid_188	Amino Acid	Tryptophan Metabolism	188	LC/MS Neg	NA	NA
compid_189	Lipid	Medium Chain Fatty Acid	189	LC/MS Neg	NA	HMDB189
compid_190	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	190	LC/MS Pos Late	NA	NA
compid_191	Lipid	Fatty Acid, Monohydroxy	191	LC/MS Neg	NA	HMDB191
compid_192	Amino Acid	Lysine Metabolism	192	LC/MS Pos Early	C16741	HMDB192
compid_193	Amino Acid	Polyamine Metabolism	193	LC/MS Pos Early	C00170	HMDB193
compid_194	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	194	LC/MS Pos Early	NA	HMDB194
compid_195	Nucleotide	Pyrimidine Metabolism, Uracil containing	195	LC/MS Neg	NA	HMDB195
compid_196	Amino Acid	Glutathione Metabolism	196	LC/MS Neg	C01879	HMDB196
compid_197	Lipid	Androgenic Steroids	197	LC/MS Neg	NA	NA
compid_198	Lipid	Androgenic Steroids	198	LC/MS Neg	NA	NA
compid_199	Lipid	Androgenic Steroids	199	LC/MS Neg	C12525	HMDB199
compid_200	Lipid	Androgenic Steroids	200	LC/MS Neg	NA	NA
compid_201	Lipid	Progestin Steroids	201	LC/MS Neg	NA	NA
compid_202	Lipid	Progestin Steroids	202	LC/MS Neg	NA	NA
compid_203	Lipid	Progestin Steroids	203	LC/MS Neg	NA	NA
compid_204	Amino Acid	Lysine Metabolism	204	LC/MS Neg	NA	HMDB204
compid_205	Lipid	Sterol	205	LC/MS Neg	C17337	HMDB205
compid_206	Nucleotide	Purine Metabolism, Guanine containing	206	LC/MS Neg	C02242	HMDB206
compid_207	Lipid	Fatty Acid, Monohydroxy	207	LC/MS Neg	NA	HMDB207
compid_208	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	208	LC/MS Pos Early	C02571	HMDB208
compid_209	Amino Acid	Polyamine Metabolism	209	LC/MS Neg	NA	NA
compid_210	Energy	TCA Cycle	210	LC/MS Neg	NA	NA
compid_211	Nucleotide	Purine Metabolism, Adenine containing	211	LC/MS Pos Early	C00147	HMDB211
compid_212	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	212	LC/MS Pos Early	NA	HMDB212
compid_213	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	213	LC/MS Neg	C16527	HMDB213
compid_214	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	214	LC/MS Pos Late	NA	NA
compid_215	Amino Acid	Alanine and Aspartate Metabolism	215	LC/MS Pos Early	C00041	HMDB215
compid_216	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	216	LC/MS Polar	C02350	HMDB216
compid_217	Amino Acid	Leucine, Isoleucine and Valine Metabolism	217	LC/MS Neg	C03264	HMDB217
compid_218	Amino Acid	Leucine, Isoleucine and Valine Metabolism	218	LC/MS Polar	NA	HMDB218
compid_219	Amino Acid	Glutamate Metabolism	219	LC/MS Polar	NA	NA
compid_220	Energy	TCA Cycle	220	LC/MS Polar	C00026	HMDB220
compid_221	Cofactors and Vitamins	Tocopherol Metabolism	221	LC/MS Pos Late	C02477	HMDB221
compid_222	Lipid	Androgenic Steroids	222	LC/MS Neg	C04555	HMDB222
compid_223	Lipid	Androgenic Steroids	223	LC/MS Neg	NA	NA
compid_224	Lipid	Androgenic Steroids	224	LC/MS Neg	NA	NA
compid_225	Lipid	Androgenic Steroids	225	LC/MS Neg	C04295	HMDB225
compid_226	Lipid	Androgenic Steroids	226	LC/MS Neg	C04295	HMDB226
compid_227	Lipid	Androgenic Steroids	227	LC/MS Neg	NA	HMDB227
compid_228	Lipid	Androgenic Steroids	228	LC/MS Neg	NA	NA
compid_229	Lipid	Androgenic Steroids	229	LC/MS Neg	C11135	HMDB229
compid_230	Lipid	Androgenic Steroids	230	LC/MS Neg	NA	HMDB230
compid_231	Carbohydrate	Pentose Metabolism	231	LC/MS Polar	C00216	HMDB231
compid_232	Carbohydrate	Pentose Metabolism	232	LC/MS Polar	C01904	NA
compid_233	Lipid	Long Chain Fatty Acid	233	LC/MS Neg	C06425	HMDB233
compid_234	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	234	LC/MS Neg	C00219	HMDB234
compid_235	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	235	LC/MS Pos Late	NA	NA
compid_236	Lipid	Fatty Acid Metabolism (Acyl Choline)	236	LC/MS Pos Late	NA	NA
compid_237	Amino Acid	Urea cycle; Arginine and Proline Metabolism	237	LC/MS Pos Early	NA	HMDB237
compid_238	Amino Acid	Urea cycle; Arginine and Proline Metabolism	238	LC/MS Pos Early	C00062	HMDB238
compid_239	Amino Acid	Alanine and Aspartate Metabolism	239	LC/MS Pos Early	C00152	HMDB239
compid_240	Amino Acid	Alanine and Aspartate Metabolism	240	LC/MS Pos Early	C00049	HMDB240
compid_241	Lipid	Fatty Acid, Dicarboxylate	241	LC/MS Neg	C08261	HMDB241
compid_242	Lipid	Sphingolipid Metabolism	242	LC/MS Pos Late	NA	HMDB242
compid_243	Lipid	Sphingolipid Metabolism	243	LC/MS Pos Late	NA	HMDB243
compid_244	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	244	LC/MS Pos Late	NA	NA
compid_245	Nucleotide	Pyrimidine Metabolism, Uracil containing	245	LC/MS Pos Early	C00099	HMDB245
compid_246	Amino Acid	Glutamate Metabolism	246	LC/MS Neg	C20775	NA
compid_247	Cofactors and Vitamins	Vitamin A Metabolism	247	LC/MS Pos Late	NA	HMDB247
compid_248	Amino Acid	Leucine, Isoleucine and Valine Metabolism	248	LC/MS Neg	NA	HMDB248
compid_249	Lipid	Sterol	249	LC/MS Pos Late	C01753	HMDB249
compid_250	Amino Acid	Glycine, Serine and Threonine Metabolism	250	LC/MS Pos Early	C00719	HMDB250
compid_251	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	251	LC/MS Pos Late	NA	NA
compid_252	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	252	LC/MS Pos Late	NA	HMDB252
compid_253	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	253	LC/MS Pos Late	C00486	HMDB253
compid_254	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	254	LC/MS Pos Late	C00500	HMDB254
compid_255	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	255	LC/MS Pos Early	C02862	HMDB255
compid_256	Amino Acid	Tryptophan Metabolism	256	LC/MS Neg	NA	NA
compid_257	Lipid	Sterol	257	LC/MS Pos Late	C01789	HMDB257
compid_258	Lipid	Medium Chain Fatty Acid	258	LC/MS Neg	C01571	HMDB258
compid_259	Lipid	Medium Chain Fatty Acid	259	LC/MS Neg	C01585	HMDB259
compid_260	Lipid	Medium Chain Fatty Acid	260	LC/MS Neg	C06423	HMDB260
compid_261	Amino Acid	Glutamate Metabolism	261	LC/MS Pos Early	NA	HMDB261
compid_262	Lipid	Carnitine Metabolism	262	LC/MS Pos Early	C00318	HMDB262
compid_263	Cofactors and Vitamins	Vitamin A Metabolism	263	LC/MS Pos Late	NA	NA
compid_264	Cofactors and Vitamins	Vitamin A Metabolism	264	LC/MS Pos Late	NA	NA
compid_265	Cofactors and Vitamins	Vitamin A Metabolism	265	LC/MS Pos Late	NA	NA
compid_266	Lipid	Ceramides	266	LC/MS Pos Late	NA	NA
compid_267	Lipid	Ceramides	267	LC/MS Pos Late	NA	NA
compid_268	Lipid	Ceramides	268	LC/MS Pos Late	NA	NA
compid_269	Lipid	Ceramides	269	LC/MS Pos Late	NA	NA
compid_270	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	270	LC/MS Pos Late	NA	HMDB270
compid_271	Lipid	Primary Bile Acid Metabolism	271	LC/MS Neg	C02528	HMDB271
compid_272	Lipid	Primary Bile Acid Metabolism	272	LC/MS Neg	C00695	HMDB272
compid_273	Lipid	Sterol	273	LC/MS Pos Late	C00187	HMDB273
compid_274	Lipid	Phospholipid Metabolism	274	LC/MS Pos Early	C00114	HMDB274
compid_275	Lipid	Phospholipid Metabolism	275	LC/MS Pos Early	C00588	HMDB275
compid_276	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	276	LC/MS Pos Late	NA	NA
compid_277	Energy	TCA Cycle	277	LC/MS Polar	NA	NA
compid_278	Energy	TCA Cycle	278	LC/MS Neg	C00158	HMDB278
compid_279	Amino Acid	Urea cycle; Arginine and Proline Metabolism	279	LC/MS Pos Early	C00327	HMDB279
compid_280	Lipid	Corticosteroids	280	LC/MS Neg	C00735	HMDB280
compid_281	Lipid	Corticosteroids	281	LC/MS Neg	C00762	HMDB281
compid_282	Amino Acid	Creatine Metabolism	282	LC/MS Pos Early	C00300	HMDB282
compid_283	Amino Acid	Creatine Metabolism	283	LC/MS Pos Early	C00791	HMDB283
compid_284	Amino Acid	Glutathione Metabolism	284	LC/MS Pos Early	NA	NA
compid_285	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	285	LC/MS Pos Early	C02291	HMDB285
compid_286	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	286	LC/MS Pos Early	C00097	HMDB286
compid_287	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	287	LC/MS Pos Early	C05824	HMDB287
compid_288	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	288	LC/MS Pos Early	C00606	HMDB288
compid_289	Amino Acid	Glutathione Metabolism	289	LC/MS Pos Early	C01419	HMDB289
compid_290	Amino Acid	Glutathione Metabolism	290	LC/MS Pos Early	NA	HMDB290
compid_291	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	291	LC/MS Pos Early	C00491	HMDB291
compid_292	Nucleotide	Pyrimidine Metabolism, Cytidine containing	292	LC/MS Pos Early	C00475	HMDB292
compid_293	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	293	LC/MS Pos Late	NA	HMDB293
compid_294	Lipid	Androgenic Steroids	294	LC/MS Neg	C04555	HMDB294
compid_295	Lipid	Carnitine Metabolism	295	LC/MS Pos Early	C01181	HMDB295
compid_296	Lipid	Secondary Bile Acid Metabolism	296	LC/MS Neg	C04483	HMDB296
compid_297	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	297	LC/MS Neg	C16525	HMDB297
compid_298	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	298	LC/MS Neg	C03242	HMDB298
compid_299	Lipid	Fatty Acid Metabolism (Acyl Choline)	299	LC/MS Pos Late	NA	NA
compid_300	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	300	LC/MS Pos Late	NA	NA
compid_301	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	301	LC/MS Pos Late	NA	NA
compid_302	Amino Acid	Urea cycle; Arginine and Proline Metabolism	302	LC/MS Pos Early	C03626	HMDB302
compid_303	Amino Acid	Glycine, Serine and Threonine Metabolism	303	LC/MS Pos Early	C01026	HMDB303
compid_304	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	304	LC/MS Neg	C16533	HMDB304
compid_305	Lipid	Fatty Acid, Dicarboxylate	305	LC/MS Neg	C19625	NA
