SAMPLE_NAME	RUN_DAY	BOX_ID
ind_107	day2	box1
ind_108	day3	box3
ind_109	day8	box2
ind_110	day2	box3
ind_111	day2	box2
ind_112	day9	box1
ind_113	day9	box2
ind_114	day7	box1
ind_115	day4	box1
ind_116	day2	box5
ind_117	day3	box5
ind_118	day2	box5
ind_119	day10	box2
ind_120	day8	box4
ind_121	day7	box3
ind_122	day4	box4
ind_123	day7	box2
ind_124	day4	box5
ind_125	day6	box4
ind_126	day10	box4
ind_127	day3	box2
ind_128	day9	box2
ind_129	day3	box1
ind_130	day7	box5
ind_131	day7	box2
ind_132	day3	box5
ind_133	day1	box5
ind_134	day7	box3
ind_135	day5	box4
ind_136	day1	box2
ind_137	day6	box3
ind_138	day8	box4
ind_139	day8	box1
ind_140	day1	box1
ind_141	day9	box2
ind_142	day7	box1
ind_143	day1	box3
ind_144	day3	box5
ind_145	day2	box1
ind_146	day1	box1
ind_147	day7	box5
ind_148	day10	box3
ind_149	day8	box3
ind_150	day5	box1
ind_151	day10	box5
ind_152	day6	box5
ind_153	day1	box5
ind_154	day2	box3
ind_155	day6	box1
ind_156	day2	box3
ind_157	day6	box4
ind_158	day3	box5
ind_159	day3	box1
ind_160	day6	box1
ind_161	day7	box3
ind_162	day2	box2
ind_163	day2	box5
ind_164	day4	box4
ind_165	day1	box3
ind_166	day7	box4
ind_167	day5	box1
ind_168	day10	box5
ind_169	day5	box5
ind_170	day7	box1
ind_171	day6	box4
ind_172	day6	box2
ind_173	day10	box1
ind_174	day4	box1
ind_175	day4	box3
ind_176	day8	box1
ind_177	day4	box1
ind_178	day1	box3
ind_179	day4	box5
ind_180	day7	box5
ind_181	day8	box4
ind_182	day10	box3
ind_183	day3	box3
ind_184	day1	box1
ind_185	day3	box2
ind_186	day9	box5
ind_187	day7	box2
ind_188	day3	box1
ind_189	day7	box3
ind_190	day2	box2
ind_191	day7	box2
ind_192	day3	box2
ind_193	day3	box3
ind_194	day10	box4
ind_195	day7	box3
ind_196	day6	box2
ind_197	day1	box3
ind_198	day4	box3
ind_199	day3	box1
ind_200	day2	box4
ind_201	day7	box2
ind_202	day1	box2
ind_203	day1	box3
ind_204	day7	box4
ind_205	day6	box1
ind_206	day1	box1
ind_207	day7	box3
ind_208	day4	box1
ind_209	day2	box1
ind_210	day9	box3
ind_211	day3	box2
ind_212	day10	box3
ind_213	day5	box1
ind_214	day3	box1
ind_215	day8	box1
ind_216	day10	box3
ind_217	day4	box5
ind_218	day5	box4
ind_219	day8	box2
ind_220	day9	box1
ind_221	day1	box4
ind_222	day8	box5
ind_223	day9	box5
ind_224	day8	box5
ind_225	day8	box3
ind_226	day8	box2
ind_227	day3	box5
ind_228	day2	box5
ind_229	day4	box4
ind_230	day4	box1
ind_231	day3	box5
ind_232	day3	box3
ind_233	day7	box4
ind_234	day6	box5
ind_235	day6	box3
ind_236	day6	box5
ind_237	day4	box3
ind_238	day3	box2
ind_239	day5	box3
ind_240	day8	box5
ind_241	day4	box2
ind_242	day7	box4
ind_243	day8	box3
ind_244	day7	box1
ind_245	day7	box5
ind_246	day3	box2
ind_247	day3	box4
ind_248	day1	box5
ind_249	day7	box2
ind_250	day1	box4
ind_251	day7	box4
ind_252	day3	box4
ind_253	day6	box2
ind_254	day9	box4
ind_255	day3	box3
ind_256	day9	box3
ind_257	day10	box3
ind_258	day9	box4
ind_259	day8	box2
ind_260	day10	box3
ind_261	day3	box3
ind_262	day10	box2
ind_263	day3	box2
ind_264	day6	box3
ind_265	day10	box2
ind_266	day8	box4
ind_267	day5	box1
ind_268	day2	box1
ind_269	day7	box5
ind_270	day4	box2
ind_271	day2	box5
ind_272	day7	box5
ind_273	day10	box4
ind_274	day9	box4
ind_275	day9	box5
ind_276	day3	box1
ind_277	day4	box2
ind_278	day5	box4
ind_279	day5	box4
ind_280	day8	box4
ind_281	day7	box2
ind_282	day3	box3
ind_283	day1	box5
ind_284	day9	box1
ind_285	day8	box3
ind_286	day8	box2
ind_287	day7	box1
ind_288	day8	box5
ind_289	day9	box3
ind_290	day5	box4
ind_291	day1	box4
ind_292	day7	box3
ind_293	day9	box1
ind_294	day6	box2
ind_295	day1	box4
ind_296	day8	box2
ind_297	day8	box2
ind_298	day8	box2
ind_299	day3	box1
ind_300	day10	box4
ind_301	day7	box3
ind_302	day7	box5
ind_303	day3	box4
ind_304	day3	box3
ind_305	day10	box3
ind_306	day5	box3
ind_307	day8	box3
ind_308	day2	box4
ind_309	day6	box4
ind_310	day2	box5
ind_311	day7	box3
ind_312	day10	box1
ind_313	day9	box5
ind_314	day7	box5
ind_315	day8	box1
ind_316	day9	box4
ind_317	day7	box2
ind_318	day1	box4
ind_319	day3	box4
ind_320	day6	box1
ind_321	day10	box5
ind_322	day7	box2
ind_323	day3	box4
ind_324	day7	box1
ind_325	day10	box2
ind_326	day1	box3
ind_327	day7	box5
ind_328	day10	box5
ind_329	day4	box1
ind_330	day5	box4
ind_331	day5	box4
ind_332	day7	box3
ind_333	day10	box2
ind_334	day2	box1
ind_335	day6	box3
ind_336	day8	box1
ind_337	day7	box4
ind_338	day6	box5
ind_339	day5	box5
ind_340	day9	box4
ind_341	day7	box1
ind_342	day8	box1
ind_343	day3	box3
ind_344	day7	box3
ind_345	day10	box5
ind_346	day4	box1
ind_347	day10	box2
ind_348	day2	box3
ind_349	day7	box3
ind_350	day7	box1
ind_351	day1	box5
ind_352	day5	box4
ind_353	day3	box5
ind_354	day7	box4
ind_355	day7	box3
ind_356	day4	box2
ind_357	day1	box2
ind_358	day6	box5
ind_359	day5	box1
ind_360	day6	box2
ind_361	day1	box5
ind_362	day4	box4
ind_363	day3	box5
ind_364	day3	box1
ind_365	day8	box1
ind_366	day1	box2
ind_367	day2	box3
ind_368	day10	box3
ind_369	day4	box5
ind_370	day6	box3
ind_371	day2	box3
ind_372	day8	box2
ind_373	day6	box1
ind_374	day4	box5
ind_375	day9	box1
ind_376	day2	box4
ind_377	day9	box1
ind_378	day3	box4
ind_379	day7	box2
ind_380	day7	box1
ind_381	day2	box3
ind_382	day9	box4
ind_383	day10	box3
ind_384	day9	box2
ind_385	day10	box3
ind_386	day3	box1
ind_387	day1	box5
ind_388	day10	box1
ind_389	day3	box3
ind_390	day1	box3
ind_391	day7	box4
ind_392	day1	box3
ind_393	day2	box5
ind_394	day10	box2
ind_395	day2	box3
ind_396	day5	box1
ind_397	day9	box5
ind_398	day8	box2
ind_399	day7	box1
ind_400	day7	box3
ind_401	day1	box3
ind_402	day7	box5
ind_403	day6	box2
ind_404	day7	box1
ind_405	day5	box5
ind_406	day6	box5
ind_407	day4	box1
ind_408	day7	box5
ind_409	day6	box1
ind_410	day7	box5
ind_411	day8	box2
ind_412	day9	box1
ind_413	day6	box4
ind_414	day8	box2
ind_415	day8	box1
ind_416	day4	box2
ind_417	day8	box5
ind_418	day4	box2
ind_419	day3	box5
ind_420	day5	box3
ind_421	day10	box3
ind_422	day2	box1
ind_423	day3	box2
ind_424	day10	box3
ind_425	day2	box2
ind_426	day1	box2
ind_427	day4	box2
ind_428	day9	box3
ind_429	day6	box1
ind_430	day7	box2
ind_431	day2	box1
ind_432	day6	box1
ind_433	day4	box2
ind_434	day7	box1
ind_435	day10	box3
ind_436	day3	box1
ind_437	day8	box2
ind_438	day8	box5
ind_439	day3	box4
ind_440	day9	box4
ind_441	day3	box5
ind_442	day5	box3
ind_443	day2	box1
ind_444	day6	box4
ind_445	day7	box3
ind_446	day6	box3
ind_447	day3	box5
ind_448	day9	box3
ind_449	day7	box4
ind_450	day1	box2
ind_451	day2	box1
ind_452	day6	box1
ind_453	day8	box5
ind_454	day4	box2
ind_455	day3	box2
ind_456	day3	box2
ind_457	day3	box3
ind_458	day9	box3
ind_459	day7	box5
ind_460	day4	box2
ind_461	day4	box3
ind_462	day2	box1
ind_463	day2	box3
ind_464	day1	box2
ind_465	day3	box3
ind_466	day7	box3
ind_467	day6	box1
ind_468	day2	box2
ind_469	day7	box2
ind_470	day3	box2
ind_471	day6	box5
ind_472	day3	box1
ind_473	day7	box4
ind_474	day3	box1
ind_475	day9	box1
ind_476	day3	box5
ind_477	day3	box2
ind_478	day4	box1
ind_479	day9	box1
ind_480	day7	box1
ind_481	day7	box2
ind_482	day9	box5
ind_483	day8	box2
ind_484	day7	box3
ind_485	day10	box3
ind_486	day8	box5
ind_487	day9	box3
ind_488	day10	box4
ind_489	day7	box5
ind_490	day7	box4
ind_491	day5	box1
ind_492	day2	box1
ind_493	day5	box2
ind_494	day7	box4
ind_495	day7	box2
ind_496	day1	box2
ind_497	day7	box3
ind_498	day9	box1
ind_499	day7	box4
ind_500	day7	box4
