SampleID	Index	OlinkID	UniProt	Assay	MissingFreq	Panel	Panel_Version	PlateID	QC_Warning	LOD	NPX	Normalization
Sample_00037	37	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.84	Intensity Normalized (v.2)
Sample_00038	38	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.43	Intensity Normalized (v.2)
Sample_00039	39	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.37	Intensity Normalized (v.2)
Sample_00040	40	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.47	Intensity Normalized (v.2)
Sample_00041	41	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.05	Intensity Normalized (v.2)
Sample_00042	42	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.62	Intensity Normalized (v.2)
Sample_00043	43	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.27	Intensity Normalized (v.2)
Sample_00044	44	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.85	Intensity Normalized (v.2)
Sample_00045	45	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.05	Intensity Normalized (v.2)
Sample_00046	46	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.88	Intensity Normalized (v.2)
Sample_00047	47	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.13	Intensity Normalized (v.2)
Sample_00048	48	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.4	Intensity Normalized (v.2)
Sample_00049	49	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.25	Intensity Normalized (v.2)
Sample_00050	50	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.56	Intensity Normalized (v.2)
Sample_00051	51	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.69	Intensity Normalized (v.2)
Sample_00052	52	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.1	Intensity Normalized (v.2)
Sample_00053	53	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.84	Intensity Normalized (v.2)
Sample_00054	54	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.71	Intensity Normalized (v.2)
Sample_00055	55	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.68	Intensity Normalized (v.2)
Sample_00056	56	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.49	Intensity Normalized (v.2)
Sample_00057	57	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.15	Intensity Normalized (v.2)
Sample_00058	58	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.62	Intensity Normalized (v.2)
Sample_00059	59	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.43	Intensity Normalized (v.2)
Sample_00060	60	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.24	Intensity Normalized (v.2)
Sample_00061	61	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.68	Intensity Normalized (v.2)
Sample_00062	62	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	8.36	Intensity Normalized (v.2)
Sample_00063	63	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.42	Intensity Normalized (v.2)
Sample_00064	64	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.91	Intensity Normalized (v.2)
Sample_00065	65	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.99	Intensity Normalized (v.2)
Sample_00066	66	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.99	Intensity Normalized (v.2)
Sample_00067	67	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	10	Intensity Normalized (v.2)
Sample_00068	68	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.48	Intensity Normalized (v.2)
Sample_00069	69	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.9	Intensity Normalized (v.2)
Sample_00070	70	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	8.68	Intensity Normalized (v.2)
Sample_00071	71	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.87	Intensity Normalized (v.2)
Sample_00072	72	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.84	Intensity Normalized (v.2)
Sample_00073	73	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.43	Intensity Normalized (v.2)
Sample_00074	74	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	9.35	Intensity Normalized (v.2)
Sample_00075	75	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	9.68	Intensity Normalized (v.2)
Sample_00076	76	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	8.77	Intensity Normalized (v.2)
Sample_00077	77	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	8.14	Intensity Normalized (v.2)
Sample_00078	78	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.49	Intensity Normalized (v.2)
Sample_00079	79	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.82	Intensity Normalized (v.2)
Sample_00080	80	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.1	Intensity Normalized (v.2)
Sample_00081	81	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.84	Intensity Normalized (v.2)
Sample_00082	82	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.32	Intensity Normalized (v.2)
Sample_00083	83	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.69	Intensity Normalized (v.2)
Sample_00084	84	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.68	Intensity Normalized (v.2)
Sample_00085	85	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.91	Intensity Normalized (v.2)
Sample_00086	86	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.91	Intensity Normalized (v.2)
Sample_00087	87	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.52	Intensity Normalized (v.2)
Sample_00088	88	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	9.53	Intensity Normalized (v.2)
Sample_00089	89	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.43	Intensity Normalized (v.2)
Sample_00090	90	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.53	Intensity Normalized (v.2)
CONTROL_0001	91	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.33	Intensity Normalized (v.2)
CONTROL_0002	92	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.12	Intensity Normalized (v.2)
CONTROL_0003	93	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.74	Intensity Normalized (v.2)
CONTROL_0004	94	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.66	Intensity Normalized (v.2)
CONTROL_0005	95	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.82	Intensity Normalized (v.2)
Empty well_01	96	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.68	Intensity Normalized (v.2)
Empty well_02	97	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.59	Intensity Normalized (v.2)
Empty well_03	98	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.9	Intensity Normalized (v.2)
Empty well_04	99	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.63	Intensity Normalized (v.2)
Empty well_05	100	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.6	Intensity Normalized (v.2)
Sample_00001	101	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.8	Intensity Normalized (v.2)
Sample_00002	102	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.86	Intensity Normalized (v.2)
Sample_00003	103	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.43	Intensity Normalized (v.2)
Sample_00004	104	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	9.54	Intensity Normalized (v.2)
Sample_00005	105	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7	Intensity Normalized (v.2)
Sample_00006	106	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.98	Intensity Normalized (v.2)
Sample_00007	107	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	9.73	Intensity Normalized (v.2)
Sample_00008	108	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.78	Intensity Normalized (v.2)
Sample_00009	109	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.61	Intensity Normalized (v.2)
Sample_00010	110	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	9.31	Intensity Normalized (v.2)
Sample_00011	111	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.66	Intensity Normalized (v.2)
Sample_00012	112	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.81	Intensity Normalized (v.2)
Sample_00013	113	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.15	Intensity Normalized (v.2)
Sample_00014	114	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.39	Intensity Normalized (v.2)
Sample_00015	115	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.34	Intensity Normalized (v.2)
Sample_00016	116	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.17	Intensity Normalized (v.2)
Sample_00017	117	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.17	Intensity Normalized (v.2)
Sample_00018	118	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.34	Intensity Normalized (v.2)
Sample_00019	119	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.45	Intensity Normalized (v.2)
Sample_00020	120	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.51	Intensity Normalized (v.2)
Sample_00021	121	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.46	Intensity Normalized (v.2)
Sample_00022	122	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.43	Intensity Normalized (v.2)
Sample_00023	123	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.35	Intensity Normalized (v.2)
Sample_00024	124	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.1	Intensity Normalized (v.2)
Sample_00025	125	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.59	Intensity Normalized (v.2)
Sample_00026	126	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.32	Intensity Normalized (v.2)
Sample_00027	127	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	9.71	Intensity Normalized (v.2)
Sample_00028	128	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.44	Intensity Normalized (v.2)
Sample_00029	129	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	9.45	Intensity Normalized (v.2)
Sample_00030	130	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.87	Intensity Normalized (v.2)
Sample_00031	131	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.86	Intensity Normalized (v.2)
Sample_00032	132	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.85	Intensity Normalized (v.2)
Sample_00033	133	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.59	Intensity Normalized (v.2)
Sample_00034	134	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.71	Intensity Normalized (v.2)
Sample_00035	135	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.88	Intensity Normalized (v.2)
Sample_00036	136	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.34	Intensity Normalized (v.2)
Sample_00037	137	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.35	Intensity Normalized (v.2)
Sample_00038	138	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.19	Intensity Normalized (v.2)
Sample_00039	139	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	8.43	Intensity Normalized (v.2)
Sample_00040	140	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.67	Intensity Normalized (v.2)
Sample_00041	141	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.09	Intensity Normalized (v.2)
Sample_00042	142	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.46	Intensity Normalized (v.2)
Sample_00043	143	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.68	Intensity Normalized (v.2)
Sample_00044	144	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.66	Intensity Normalized (v.2)
Sample_00045	145	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	9.49	Intensity Normalized (v.2)
Sample_00046	146	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.11	Intensity Normalized (v.2)
Sample_00047	147	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.56	Intensity Normalized (v.2)
Sample_00048	148	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.51	Intensity Normalized (v.2)
Sample_00049	149	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	8.77	Intensity Normalized (v.2)
Sample_00050	150	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.72	Intensity Normalized (v.2)
Sample_00051	151	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.43	Intensity Normalized (v.2)
Sample_00052	152	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.77	Intensity Normalized (v.2)
Sample_00053	153	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.03	Intensity Normalized (v.2)
Sample_00054	154	OID00002	P69237	Protein_2	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.39	Intensity Normalized (v.2)
